source_id,enabled,draft_year,adapter,league,season,stage,source_url,cache_path,source_label
2024-ushl-playoffs-goalies,true,2024,ushl,USHL,2023-24,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=84&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2023_24_s84_playoffs_goalies.json,84:goalies
2024-ushl-playoffs-skaters,true,2024,ushl,USHL,2023-24,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=84&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2023_24_s84_playoffs_skaters.json,84:skaters
2024-ushl-regular-goalies,true,2024,ushl,USHL,2023-24,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=82&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2023_24_s82_regular_goalies.json,82:goalies
2024-ushl-regular-skaters,true,2024,ushl,USHL,2023-24,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=82&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2023_24_s82_regular_skaters.json,82:skaters
2025-ohl-playoffs,true,2025,chl,OHL,2024-25,playoffs,https://chl.ca/ohl/stats/players/81/all/points,data/raw/cache/chl_stats/ohl_2024_25_true_playoffs_players.html,chl
2025-ohl-regular,true,2025,chl,OHL,2024-25,regular,https://chl.ca/ohl/stats/players/79/all/points,data/raw/cache/chl_stats/ohl_2024_25_regular_players.html,chl
2025-qmjhl-playoffs,true,2025,chl,QMJHL,2024-25,playoffs,https://chl.ca/lhjmq/en/stats/players/209/all/points,data/raw/cache/chl_stats/qmjhl_2024_25_true_playoffs_players.html,chl
2025-qmjhl-regular,true,2025,chl,QMJHL,2024-25,regular,https://chl.ca/lhjmq/en/stats/players/208/all/points,data/raw/cache/chl_stats/qmjhl_2024_25_regular_players.html,chl
2025-whl-playoffs,true,2025,chl,WHL,2024-25,playoffs,https://chl.ca/whl/stats/players/288/all/points,data/raw/cache/chl_stats/whl_2024_25_true_playoffs_players.html,chl
2025-whl-regular,true,2025,chl,WHL,2024-25,regular,https://chl.ca/whl/stats/players/285/all/points,data/raw/cache/chl_stats/whl_2024_25_regular_players.html,chl
2025-ushl-playoffs-goalies,true,2025,ushl,USHL,2024-25,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=87&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2024_25_s87_playoffs_goalies.json,87:goalies
2025-ushl-playoffs-skaters,true,2025,ushl,USHL,2024-25,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=87&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2024_25_s87_playoffs_skaters.json,87:skaters
2025-ushl-regular-goalies,true,2025,ushl,USHL,2024-25,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=85&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2024_25_s85_regular_goalies.json,85:goalies
2025-ushl-regular-skaters,true,2025,ushl,USHL,2024-25,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=85&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2024_25_s85_regular_skaters.json,85:skaters
2026-ohl-playoffs,false,2026,chl,OHL,2025-26,playoffs,https://chl.ca/ohl/stats/players/85/all/points,data/raw/cache/chl_stats/ohl_2025_26_s85_playoffs_players.html,chl
2026-ohl-regular,false,2026,chl,OHL,2025-26,regular,https://chl.ca/ohl/stats/players/83/all/points,data/raw/cache/chl_stats/ohl_2025_26_s83_regular_players.html,chl
2026-qmjhl-playoffs,false,2026,chl,QMJHL,2025-26,playoffs,https://chl.ca/lhjmq/en/stats/players/212/all/points,data/raw/cache/chl_stats/qmjhl_2025_26_s212_playoffs_players.html,chl
2026-qmjhl-regular,false,2026,chl,QMJHL,2025-26,regular,https://chl.ca/lhjmq/en/stats/players/211/all/points,data/raw/cache/chl_stats/qmjhl_2025_26_s211_regular_players.html,chl
2026-whl-playoffs,false,2026,chl,WHL,2025-26,playoffs,https://chl.ca/whl/stats/players/293/all/points,data/raw/cache/chl_stats/whl_2025_26_s293_playoffs_players.html,chl
2026-whl-regular,false,2026,chl,WHL,2025-26,regular,https://chl.ca/whl/stats/players/289/all/points,data/raw/cache/chl_stats/whl_2025_26_s289_regular_players.html,chl
2026-ushl-playoffs-goalies,true,2026,ushl,USHL,2025-26,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=90&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2025_26_s90_playoffs_goalies.json,90:goalies
2026-ushl-playoffs-skaters,true,2026,ushl,USHL,2025-26,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=90&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2025_26_s90_playoffs_skaters.json,90:skaters
2026-ushl-regular-goalies,true,2026,ushl,USHL,2025-26,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=88&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2025_26_s88_regular_goalies.json,88:goalies
2026-ushl-regular-skaters,true,2026,ushl,USHL,2025-26,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=88&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2025_26_s88_regular_skaters.json,88:skaters
